id,Product,same_as_wikidata_product,WasteType
86,aluminum can,https://wikidata.org/entity/Q3261783,recycling
87,chilled,https://wikidata.org/entity/Q1072971,recycling
88,chilled,https://wikidata.org/entity/Q1072971,recycling
89,lid,https://wikidata.org/entity/Q2488579,recycling
90,lid,https://wikidata.org/entity/Q2488579,recycling
91,aluminum can,https://wikidata.org/entity/Q3261783,recycling
92,plastic shopping bag,https://wikidata.org/entity/Q1196111,plastic recycling
93,aerosol,https://wikidata.org/entity/Q104541,recycling
94,card stock,https://wikidata.org/entity/Q6432723,recycling
95,tissue paper,https://wikidata.org/entity/Q1471060,recycling
96,toilet paper,https://wikidata.org/entity/Q5840,recycling
97,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
98,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
99,plastic film,https://wikidata.org/entity/Q4370258,plastic recycling
100,plastic bag,https://wikidata.org/entity/Q498439,plastic recycling
101,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
102,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
103,aluminum can,https://wikidata.org/entity/Q3261783,recycling
104,lid,https://wikidata.org/entity/Q2488579,recycling
105,card stock,https://wikidata.org/entity/Q6432723,recycling
106,aluminum can,https://wikidata.org/entity/Q3261783,recycling
107,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
108,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
109,cup,https://wikidata.org/entity/Q81727,recycling
110,chilled,https://wikidata.org/entity/Q1072971,recycling
111,chilled,https://wikidata.org/entity/Q1072971,recycling
112,chilled,https://wikidata.org/entity/Q1072971,recycling
113,lid,https://wikidata.org/entity/Q2488579,recycling
114,lid,https://wikidata.org/entity/Q2488579,recycling
115,chilled,https://wikidata.org/entity/Q1072971,recycling
116,chilled,https://wikidata.org/entity/Q1072971,recycling
117,chilled,https://wikidata.org/entity/Q1072971,recycling
118,chilled,https://wikidata.org/entity/Q1072971,recycling
119,chilled,https://wikidata.org/entity/Q1072971,recycling
120,chilled,https://wikidata.org/entity/Q1072971,recycling
121,chilled,https://wikidata.org/entity/Q1072971,recycling
122,chilled,https://wikidata.org/entity/Q1072971,recycling
123,chilled,https://wikidata.org/entity/Q1072971,recycling
124,lid,https://wikidata.org/entity/Q2488579,recycling
125,lid,https://wikidata.org/entity/Q2488579,recycling
126,lid,https://wikidata.org/entity/Q2488579,recycling
127,lid,https://wikidata.org/entity/Q2488579,recycling
128,lid,https://wikidata.org/entity/Q2488579,recycling
129,egg carton,https://wikidata.org/entity/Q959287,recycling
130,egg carton,https://wikidata.org/entity/Q959287,recycling
131,egg carton,https://wikidata.org/entity/Q959287,recycling
132,egg carton,https://wikidata.org/entity/Q959287,recycling
133,drinking straw,https://wikidata.org/entity/Q189211,recycling
284,cigarette,https://wikidata.org/entity/Q1578,recycling
285,cigarette,https://wikidata.org/entity/Q1578,recycling
134,aluminum can,https://wikidata.org/entity/Q3261783,recycling
135,aluminum can,https://wikidata.org/entity/Q3261783,recycling
